Country,Christian(%)
Afghanistan,0.02
Albania,17.0
Algeria,0.01
American Samoa,98.3
Andorra,89.5
Angola,75.0
Anguilla,90.5
Antigua and Barbuda,74.0
Argentina,77.0
Armenia,97.9
Aruba,88.0
Australia,43.9
Austria,60.0
Azerbaijan,3.1
Bahamas,95.0
Bahrain,15.0
Bangladesh,0.3
Barbados,74.0
Belarus,55.4
Belgium,65.0
Belize,76.7
Benin,48.5
Bermuda,64.7
Bhutan,1.0
Bolivia,89.0
Bosnia and Herzegovina,45.94
Botswana,71.6
Brazil,90.0
British Virgin Islands,94.0
Brunei,7.1
Bulgaria,64.7
Burkina Faso,26.3
Burundi,75.0
Cambodia,1.0
Cameroon,73.0
Canada,53.3
Cape Verde,89.1
Cayman Islands,66.9
Central African Republic,80.0
Chad,35.0
Chile,68.0
China,3.0
Colombia,92.0
Comoros,2.1
Cook Islands,87.0
"Congo, Republic of",90.7
"Congo, Democratic Republic of",92.0
Costa Rica,82.0
Côte d'Ivoire,39.8
Croatia,87.4
Cuba,65.0
Cyprus,79.0
Czech Republic,11.7
Denmark,79.0
Djibouti,6.0
Dominica,88.7
Dominican Republic,83.0
Ecuador,94.0
Egypt,10.0
El Salvador,81.9
Equatorial Guinea,88.7
Eritrea,67.0
Estonia,26.8
Eswatini,82.7
Ethiopia,75.0
Falkland Islands,94.3
Faroe Islands,95.4
Fiji,64.4
Finland,67.1
France,51.1
Gabon,88.0
Gambia,4.2
Georgia,88.1
Germany,53.9
Ghana,71.3
Greece,93.0
Greenland,96.6
Grenada,97.3
Guatemala,87.0
Guinea,8.9
Guinea-Bissau,10.0
Guyana,62.7
Haiti,96.0
Honduras,88.0
Hong Kong,18.4
Hungary,52.87
Iceland,72.3
India,2.3
Indonesia,10.49
Iran,0.95
Iraq,1.2
Ireland,83.8
Israel,3.5
Italy,83.0
Jamaica,68.9
Japan,1.1
Jordan,6.0
Kazakhstan,17.2
Kenya,85.5
North Korea,1.7
South Korea,27.6
Kuwait,15.0
Kyrgyzstan,11.4
Laos,2.2
Latvia,70.0
Lebanon,39.5
Lesotho,90.0
Liberia,85.5
Libya,2.7
Liechtenstein,84.4
Lithuania,79.4
Luxembourg,72.4
Madagascar,85.0
Malawi,77.3
Malaysia,9.0
Maldives,0.08
Mali,2.4
Malta,91.6
Mauritania,0.14
Mauritius,32.2
Mexico,88.9
"Micronesia, Federated States of",95.4
Moldova,91.8
Monaco,82.6
Mongolia,1.3
Montenegro,78.8
Morocco,1.0
Mozambique,56.1
Myanmar,6.2
Namibia,90.0
Nepal,1.4
Netherlands,37.0
New Zealand,37.0
Nicaragua,84.6
Niger,0.5
Nigeria,45.9
North Macedonia,60.4
Norway,76.7
Oman,6.5
Pakistan,1.6
Palau,77.9
Panama,92.0
Papua New Guinea,97.0
Paraguay,96.0
Peru,94.5
Philippines,85.3
Pitcairn Islands,100.0
Poland,94.3
Portugal,84.8
Puerto Rico,89.0
Qatar,13.8
Romania,98.0
Russia,46.6
Rwanda,93.6
San Marino,91.6
Saudi Arabia,5.0
Senegal,4.2
Serbia,91.0
Seychelles,94.7
Sierra Leone,10.0
Singapore,18.9
Slovakia,68.8
Slovenia,68.0
Somalia,0.01
South Africa,85.3
South Sudan,60.5
Spain,59.2
Sri Lanka,7.4
Sudan,1.5
Suriname,50.0
Sweden,64.3
Switzerland,66.9
Syria,10.0
Tajikistan,1.4
Tanzania,61.4
Thailand,1.1
Timor-Leste,99.6
Togo,29.0
Tonga,81.0
Trinidad and Tobago,57.6
Tunisia,
Turkey,0.2
Turkmenistan,9.0
Uganda,84.5
Ukraine,81.9
United Arab Emirates,9.0
United Kingdom,38.0
United States,65.0
Uruguay,58.1
Uzbekistan,2.6
Venezuela,88.0
Vietnam,7.1
Yemen,0.01
Zambia,95.5
Zimbabwe,87.0
Europe,76.2
Latin America and the Caribbean,90.0
Africa,62.7
Asia,7.0
North America,77.4
Oceania,73.3
Middle East-North Africa,3.8
Total,33.4
