Country,Internet users
China,1089140000
India,881250000
United States,311300000
Indonesia,215626156
Brazil,165300000
Nigeria,136203231
Pakistan,130000000
Russia,129800000
Bangladesh,126210000
Japan,117400000
Mexico,96800000
Iran,78086663
Germany,77794405
Philippines,73003313
Turkey,69945905
Vietnam,68172134
United Kingdom,65001016
France,59470000
Egypt,75660000
South Korea,49421084
Spain,42400756
Thailand,54043108
Italy,50540000
Saudi Arabia,34840000
Poland,34697848
Canada,33950632
Argentina,40024673
Tanzania,33090000
South Africa,31858027
Colombia,30548252
Malaysia,25343685
Ukraine,28570000
Algeria,26350000
Myanmar,23650000
Morocco,22072765
Taiwan,21920626
Australia,21159515
Venezuela,20564451
Ethiopia,19543075
Iraq,18892351
Uzbekistan,16692456
Nepal,16190000
Netherlands,15877494
Peru,15674241
Chile,14864456
Kazakhstan,13913699
Romania,12545558
Sudan,12512639
Ghana,15065541
Côte d'Ivoire,10650818
Uganda,10162807
Belgium,10021242
Sweden,9554907
Ecuador,9521056
United Arab Emirates,8913217
Kenya,8861485
Czech Republic,8358728
Switzerland,7942864
Greece,7923438
Azerbaijan,7763795
Austria,7681957
Portugal,7622142
Yemen,7548512
Hungary,7461297
Sri Lanka,7121116
Belarus,7048231
Democratic Republic of the Congo,7011507
Dominican Republic,6997472
Guatemala,11750000
Israel,6788737
Hong Kong,6970000
Jordan,6480202
Tunisia,6400330
Syria,6257430
Serbia,6182411
Mozambique,6162217
Cuba,5638956
Cameroon,5580465
Denmark,5407278
Cambodia,5441827
Norway,5120225
Bolivia,4843916
Finland,5410000
Singapore,4821119
Zambia,4760715
Lebanon,4755187
Senegal,4698108
Bulgaria,4492326
Zimbabwe,4472992
Slovakia,4446926
New Zealand,4273353
Angola,4271053
Paraguay,4160340
Afghanistan,4068194
Kuwait,4053797
Ireland,4024552
Oman,3717818
Costa Rica,3511549
Palestine,3208312
Moldova,3083783
Burkina Faso,3047909
Honduras,2977793
Croatia,2811056
Puerto Rico,2664928
Rwanda,2657770
Malawi,2566126
Qatar,2532059
Madagascar,2505948
Bosnia and Herzegovina,2320000
Panama,2371852
Georgia,3446533
Uruguay,2910000
Mali,2358540
Kyrgyzstan,2309235
Lithuania,2243448
Niger,2194985
Albania,2105339
Armenia,2043110
El Salvador,1993079
Tajikistan,1959127
Laos,1749517
Nicaragua,1732218
Slovenia,1640893
North Macedonia,1589659
Latvia,1585471
Benin,1578008
Guinea,1449758
Bahrain,1431090
Jamaica,1409888
Libya,1387116
Haiti,1353986
Turkmenistan,1223591
Estonia,1153786
Trinidad and Tobago,1058744
Gabon,1040000
South Sudan,1003542
Sierra Leone,1000575
Chad,968500
Togo,963795
Cyprus,952369
Botswana,948977
Namibia,933450
Papua New Guinea,924955
Mauritania,919398
Mongolia,729236
Mauritius,702911
Lesotho,665312
Burundi,607311
Luxembourg,570794
Djibouti,532849
Macau,619200
Congo,455055
Fiji,452479
Montenegro,505055
Gambia,416753
Eswatini,414278
Brunei,406705
Bhutan,388541
Liberia,377607
East Timor,356356
Malta,344970
Bahamas,336057
Equatorial Guinea,332642
Iceland,329196
Cabo Verde,312315
Somalia,294851
Guyana,290375
Suriname,275785
Maldives,275717
Barbados,233604
New Caledonia,226557
French Polynesia,205746
Central African Republic,202204
Belize,176400
Guam,132221
Aruba,102285
Saint Lucia,90889
Antigua and Barbuda,77529
Andorra,76095
Guinea-Bissau,73148
Solomon Islands,72872
Saint Vincent and the Grenadines,72048
Vanuatu,71050
Comoros,69020
U.S. Virgin Islands,67535
Eritrea,66402
Samoa,66023
Grenada,63692
São Tomé and Príncipe,61155
Bermuda,60349
Seychelles,55677
Dominica,51467
Cayman Islands,49906
Faroe Islands,48097
Saint Kitts and Nevis,44669
Tonga,44558
Greenland,39242
Jersey,38958
Monaco,37553
Micronesia,37257
Liechtenstein,37201
Gibraltar,32494
Marshall Islands,20560
San Marino,20100
Kiribati,16971
British Virgin Islands,14456
Anguilla,12043
Nauru,6475
Tuvalu,5520
"Saint Helena, Ascension and Tristan da Cunha",2906
Falkland Islands,2881
Montserrat,2833
Wallis and Futuna,1383
Niue,1034
