Country,kg/person (2020)[12]
Albania,47.51
Algeria,18.06
American Samoa,
Angola,23.49
Antigua and Barbuda,72.05
Argentina,109.39
Armenia,45.64
Australia,121.61
Austria,87.23
Azerbaijan,34.08
Bahamas,67.05
Bahrain,
Bangladesh,4.04
Barbados,71.38
Belarus,81.47
Belgium,65.78
Belize,41.09
Benin,20.24
Bhutan,
Bolivia,71.4
Bosnia and Herzegovina,36.03
Botswana,24.44
Brazil,77.32
Bulgaria,58.32
Burkina Faso,12.0
Burundi,
Cambodia,12.34
Cameroon,11.98
Canada,82.63
Cape Verde,32.18
Côte d'Ivoire,12.38
Central African Republic,35.9
Chad,26.48
Chile,83.17
China,60.6
Colombia,55.91
Comoros,
Republic of the Congo,40.11
Democratic Republic of the Congo,
Costa Rica,53.56
Croatia,75.3
Cuba,55.48
Cyprus,72.83
Czech Republic,82.79
Denmark,70.83
Djibouti,15.04
Dominica,55.03
Dominican Republic,55.25
Ecuador,45.22
Egypt,26.29
El Salvador,30.52
Eritrea,
Estonia,63.64
Ethiopia,5.4
Fiji,43.85
Finland,76.7
France,83.05
French Guiana,
French Polynesia,96.09
Gabon,59.21
The Gambia,7.82
Georgia,31.83
Germany,87.79
Ghana,13.73
Greece,71.7
Grenada,59.4
Guadeloupe,
Guatemala,36.39
Guinea,13.05
Guinea-Bissau,17.29
Guyana,45.22
Haiti,17.61
Honduras,33.09
Hong Kong,137.08
Hungary,79.73
Iceland,91.02
India,3.78
Indonesia,11.7
Iran,35.98
Ireland,76.85
Israel,97.02
Italy,80.96
Jamaica,58.97
Japan,49.33
Jordan,37.91
Kazakhstan,64.89
Kenya,15.94
Kiribati,29.96
Kuwait,67.12
Kyrgyzstan,30.46
Laos,30.41
Latvia,68.73
Lebanon,23.97
Lesotho,19.89
Liberia,18.27
Libya,
Lithuania,81.28
Luxembourg,80.08
Macao,103.15
Madagascar,12.34
Malawi,20.34
Malaysia,52.9
Maldives,20.61
Mali,23.68
Malta,82.06
Mauritania,31.06
Mauritius,50.9
Mexico,64.88
Moldova,38.12
Mongolia,88.38
Montenegro,73.01
Morocco,35.12
Mozambique,9.39
Myanmar,58.25
Namibia,30.53
Nepal,13.55
Netherlands,75.82
Netherlands Antilles,
New Caledonia,68.61
New Zealand,100.9
Nicaragua,30.82
Niger,12.75
Nigeria,7.15
Norway,67.47
North Korea,13.67
North Macedonia,36.62
Oman,43.34
Pakistan,16.87
Panama,65.02
Papua New Guinea,
Paraguay,54.07
Peru,24.41
Philippines,37.04
Poland,88.71
Portugal,94.07
Qatar,
Reunion,
Romania,63.92
Russia,87.81
Rwanda,9.08
Saint Kitts and Nevis,82.51
Saint Lucia,90.9
Saint Vincent and the Grenadines,91.05
Samoa,96.68
Sao Tome and Principe,14.18
Saudi Arabia,54.13
Senegal,14.13
Serbia,53.49
Seychelles,
Sierra Leone,8.23
Singapore,
Slovakia,59.35
Slovenia,76.4
Solomon Islands,11.74
South Africa,60.03
South Korea,70.71
Spain,100.26
Sri Lanka,9.04
Sudan,21.39
Suriname,42.4
Swaziland,
Sweden,77.07
Switzerland,67.54
Syria,
Taiwan,77.57
Tajikistan,16.47
Thailand,27.37
Timor-Leste,31.51
Tanzania,
Togo,12.58
Trinidad and Tobago,68.66
Tunisia,28.36
Turkey,38.87
Turkmenistan,60.22
Uganda,9.69
Ukraine,46.92
United Arab Emirates,62.03
United Kingdom,79.9
United States of America,124.11
Uruguay,57.7
Uzbekistan,34.41
Vanuatu,36.03
Venezuela,40.94
Vietnam,63.34
Yemen,16.86
Zambia,13.12
Zimbabwe,17.67
