Country,Age at first marriage (Women)
Afghanistan,15.5
Albania,27.8
Algeria,28.2
Angola,21.4
Antigua and Barbuda,25
Argentina,33.2
Armenia,27.1
Australia,30.5
Austria,30.8
Azerbaijan,24
Bahamas,27
Bahrain,26.3
Bangladesh,25
Barbados,31.8
Belarus,26.1
Belgium,30
Belize,28.6
Benin,18.7
Bhutan,22.8
Bolivia,24.1
Bosnia and Herzegovina,26.8
Botswana,26.4
Brazil,30
Brunei Darussalam,25.1
Bulgaria,29.1
Burkina Faso,17.9
Burundi,20.3
Cabo Verde,21.5
Cambodia,21
Cameroon,19
Canada,29.6
Central African Republic,17.3
Chad,18.8
Chile,32.6
China,24.9
Colombia,22.7
Comoros,20.4
Congo,21
"Congo, The Democratic Republic of the",19
Costa Rica,25.7
Croatia,28.9
Cuba,21.3
Cyprus,29.6
Czechia,29.8
Côte d'Ivoire,19.5
Denmark,32.7
Djibouti,26.9
Ecuador,21.8
Egypt,25
El Salvador,22.5
Equatorial Guinea,20.5
Eritrea,20.6
Estonia,30.4
Eswatini,26.5
Ethiopia,21.3
Fiji,24.1
Finland,32.1
France,32
Gabon,20.4
Gambia,21.5
Georgia,28.1
Germany,32.1
Ghana,21.7
Greece,30.1
Grenada,31
Guatemala,21.3
Guinea,19.8
Guinea-Bissau,20.9
Guyana,21.5
Haiti,23.7
Honduras,21.2
Hong Kong,30.6
Hungary,30.1
Iceland,32.7
India,25.3
Indonesia,20
"Iran, Islamic Republic of",23.8
Iraq,25.3
Ireland,34.8
Israel,28.2
Italy,31.5
Jamaica,33.2
Japan,30
Jordan,26.6
Kazakhstan,25
Kenya,20.2
Kiribati,20.1
Kuwait,27.5
Kyrgyzstan,23.6
Lao People's Democratic Republic,20.5
Latvia,30.6
Lebanon,28.8
Lesotho,20.9
Liberia,18.9
Libya,29.2
Liechtenstein,31.2
Lithuania,28.3
Luxembourg,31.8
Madagascar,18.4
Malawi,17.9
Malaysia,25
Maldives,21.6
Mali,18.8
Malta,28.5
Marshall Islands,24.2
Mauritania,19
Mauritius,25.4
Mexico,30.5
"Micronesia, Federated States of",25.5
Moldova,26
Monaco,30.4
Mongolia,26
Montenegro,28
Morocco,25.7
Mozambique,18.7
Myanmar,20.5
Namibia,29.2
Nauru,21.2
Nepal,20.1
Netherlands,30.9
New Zealand,29.4
Nicaragua,20.6
Niger,17.2
Nigeria,21.2
North Korea,25.5
North Macedonia,26.9
Norway,34.1
Oman,24.8
Pakistan,23.2
Palau,26.6
"Palestine, State of",20.1
Panama,21.6
Papua New Guinea,21.4
Paraguay,22.7
Peru,23.5
Philippines,25.3
Poland,27
Portugal,32.4
Qatar,25.4
Romania,28.3
Russian Federation,25.5
Rwanda,20.6
Saint Kitts and Nevis,31.3
Saint Lucia,33.7
Saint Vincent and the Grenadines,21.2
Samoa,24.1
San Marino,30.7
Sao Tome and Principe,18.8
Saudi Arabia,20.4
Senegal,22.2
Serbia,28.6
Seychelles,25.2
Sierra Leone,23.1
Singapore,27.9
Slovakia,29.4
Slovenia,30.7
Solomon Islands,20.3
Somalia,20.6
South Africa,33
South Korea,31
South Sudan,18.4
Spain,33.6
Sri Lanka,23.4
Sudan,22
Suriname,29.3
Sweden,33.9
Switzerland,30.1
Syrian Arab Republic,26.3
Taiwan,30.4
Tajikistan,22.1
Tanzania,18.9
Thailand,21
Timor-Leste,20.6
Togo,22.3
Tonga,23.6
Trinidad and Tobago,29.2
Tunisia,28.7
Turkey,25
Turkmenistan,23.3
Tuvalu,22.1
Uganda,18.2
Ukraine,25.9
United Arab Emirates,25.3
United Kingdom,31.7
United States,28.6
Uruguay,24
Uzbekistan,22.7
Vanuatu,20.8
Venezuela,22.7
Vietnam,22.8
Yemen,23
Zambia,18.7
Zimbabwe,19.9
