Country,Milk consumption 2013 (kg/capita/yr)
Afghanistan,62.23
Albania,303.72
Algeria,141.53
Angola,12.3
Antigua and Barbuda,123.74
Argentina,195.08
Armenia,209.03
Australia,234.49
Austria,258.09
Azerbaijan,152.07
Bahamas,104.76
Bangladesh,21.91
Barbados,110.48
Belarus,133.73
Belgium,236.19
Belize,80.3
Benin,8.4
Bermuda,95.56
Bolivia,46.04
Bosnia and Herzegovina,174.03
Botswana,117.74
Brazil,149.28
Brunei Darussalam,70.47
Bulgaria,155.71
Burkina Faso,29.79
Burundi,4.6
Cabo Verde,115.64
Cambodia,3.47
Cameroon,15.27
Canada,187.77
Central African Republic,13.53
Chad,20.63
Chile,116.11
China,32.66
Colombia,108.47
Comoros,11.15
Congo,10.69
"Congo, The Democratic Republic of the",
Costa Rica,183.28
Croatia,231.02
Cuba,99.94
Cyprus,113.31
Czechia,195.2
Côte d'Ivoire,6.36
Denmark,277.3
Djibouti,59.81
Dominica,136.93
Dominican Republic,73.75
Ecuador,139.6
Egypt,59.46
El Salvador,124.34
Eritrea,11.57
Estonia,284.85
Eswatini,56.6
Ethiopia,44.14
Fiji,40.2
Finland,430.76
France,241.31
French Polynesia,93.56
Gabon,30.16
Gambia,45.71
Georgia,149.26
Germany,258.7
Ghana,9.08
Greece,255.26
Grenada,86.88
Guatemala,46.6
Guinea,20.62
Guinea-Bissau,19.88
Guyana,141.68
Haiti,18.98
Honduras,91.33
Hong Kong,105.85
Hungary,159.05
Iceland,225.82
India,84.5
Indonesia,14.82
"Iran, Islamic Republic of",46.69
Iraq,22.18
Ireland,291.86
Israel,193.6
Italy,246.88
Jamaica,91.13
Japan,72.06
Jordan,77.68
Kazakhstan,288.12
Kenya,94.86
Kiribati,10.93
Kuwait,157.66
Kyrgyzstan,210.92
Lao People's Democratic Republic,2.92
Latvia,174.11
Lebanon,114.52
Lesotho,25.35
Liberia,3.04
Libya,75
Lithuania,295.46
Luxembourg,255.3
Macao,37.46
Madagascar,24.84
Malawi,7.98
Malaysia,25.28
Maldives,111.47
Mali,98.68
Malta,190.06
Mauritania,160.82
Mauritius,117.27
Mexico,111.87
Moldova,155.18
Mongolia,139.82
Montenegro,349.21
Morocco,54.68
Mozambique,4.79
Myanmar,31.48
Namibia,73.05
Nepal,52.1
Netherlands,341.47
Netherlands Antilles,103.22
New Caledonia,108
New Zealand,137.25
Nicaragua,85.16
Niger,58.92
Nigeria,7.91
North Korea,3.79
North Macedonia,157.93
Norway,261.34
Oman,152.28
Pakistan,183.13
"Palestine, State of",
Panama,70.29
Paraguay,75.72
Peru,62.15
Philippines,15.66
Poland,205.39
Portugal,205.04
Romania,238.33
Russian Federation,163.57
Rwanda,7.23
Saint Kitts and Nevis,87.36
Saint Lucia,80.65
Saint Vincent and the Grenadines,87.62
Samoa,52.55
Sao Tome and Principe,22.58
Saudi Arabia,83.65
Senegal,16.86
Serbia,148.53
Seychelles,79.23
Sierra Leone,7
Slovakia,143.14
Slovenia,235.01
Solomon Islands,11.52
South Africa,55.75
South Korea,29.05
Spain,164.29
Sri Lanka,34.98
Sudan,155.2
Suriname,48.97
Sweden,341.23
Switzerland,318.69
Syrian Arab Republic,111.43
Taiwan,41.72
Tajikistan,54.54
Tanzania,40.29
Thailand,29.35
Timor-Leste,10.96
Togo,7.96
Trinidad and Tobago,103.8
Tunisia,114.47
Turkey,193.94
Turkmenistan,137.09
Uganda,37.27
Ukraine,145.03
United Arab Emirates,132.66
United Kingdom,232.2
United States,254.69
Uruguay,210.54
Uzbekistan,130.81
Vanuatu,25.21
Venezuela,117.79
Vietnam,16.36
Yemen,43.97
Zambia,9.71
Zimbabwe,31.9
