Country,Titles
Afghanistan,2795
Albania,390
Algeria,3955
American Samoa,46
Andorra,57
Angola,22
Argentina,11514
Armenia,396
Australia,19241
Austria,8711
Azerbaijan,542
Bahrain,40
Belarus,8205
Belgium,13913
Benin,84
Bolivia,1578
Botswana,158
Brazil,46829
Brunei Darussalam,91
Bulgaria,12194
Burkina Faso,12
Canada,10433
Chile,7058
China,208418
Colombia,17066
"Congo, The Democratic Republic of the",64
Costa Rica,2158
Cuba,728
Cyprus,930
Czechia,16474
Denmark,10715
Dominican Republic,1866
Ecuador,4153
Egypt,23000
El Salvador,661
Eritrea,970
Estonia,5809
Ethiopia,240
Fiji,401
Finland,10208
France,106799
Gambia,14
Georgia,581
Germany,79916
Ghana,28
Greece,9583
Guatemala,1042
Guyana,42
Holy See (Vatican City State),228
Honduras,102
Hong Kong,14603
Hungary,9589
Iceland,1767
India,90000
Indonesia,135081
"Iran, Islamic Republic of",102691
Ireland,1773
Israel,8411
Italy,125948
Japan,139078
Jordan,511
Kazakhstan,1226
Kenya,300
Kuwait,196
Kyrgyzstan,1455
Lao People's Democratic Republic,88
Latvia,2375
Lebanon,2000
Libya,26
Lithuania,3479
Luxembourg,2000
Madagascar,119
Malawi,117
Malaysia,15354
Mali,14
Malta,511
Mauritius,80
Mexico,18713
Moldova,4559
Monaco,41
Mongolia,285
Morocco,3677
Myanmar,3660
Namibia,106
Netherlands,16502
New Zealand,2526
Nicaragua,27
Nigeria,1314
Norway,14114
Oman,7
Pakistan,3811
"Palestine, State of",114
Panama,940
Papua New Guinea,122
Paraguay,1007
Peru,6885
Philippines,1507
Poland,21130
Portugal,18925
Qatar,209
Romania,14984
Russian Federation,115171
Réunion,69
Saudi Arabia,2387
Serbia,14901
Singapore,12000
Slovakia,9400
Slovenia,5076
South Africa,5418
South Korea,63476
Spain,83622
Sri Lanka,4115
Suriname,47
Sweden,8118
Switzerland,12156
Syrian Arab Republic,1138
Taiwan,28084
Tajikistan,132
Tanzania,172
Thailand,6750
Tunisia,720
Turkey,88975
Turkmenistan,450
Uganda,288
Ukraine,24416
United Arab Emirates,293
United Kingdom,186000
United States,275232
Uruguay,3231
Uzbekistan,1003
Venezuela,2275
Vietnam,24589
Zimbabwe,232
