Country,UN,Ookla,2016,Victims-per-100000-habitants,percentage-GDP,HDI,2020,percentage-of-population-with-education-of-2-year-tertiary-degree-or-equivalent,Yes/Important(%),Christian(%),Muslim percentage of total population,Buddhist (%),Jewish (%),"2020 mortality rate, under-5 (per 1000 live births)",Age of criminal responsibility,Annual minimum wage (US$),External debt (% of GDP),Gini Ratio,Health spending per capita (International dollars),Suicide Rate,Total Fertility rate in 2021 (births/woman),Cigarettes,Obesity rate (%),Internet users,Median ages in years.1,Score,Oil production April 2022 (bbl/day)[1],CIA[2][3],Life expectancy at birth,kg/person (2020)[12],Incarceration rate per 100000,"Gender disparity, elderly (65+), rate",Age at first marriage (Women),Expenditure on education (% of GDP),Homeless per 10k,Calculated,Milk consumption 2013 (kg/capita/yr),Scientific publications per capita (per million),Titles,Average daily food energy intake per capita (kilocalories),Average yearly temperature (Celsius)
Monaco,234317.0,220.35,,0.0,,,,,,82.6,0.8,,,3.0,,24092.0,240.0,,3101.0,,,,,37553.0,55.4,,,0.66,,,36,,30.4,1.5,,,,6050.0,41.0,,13.55
Liechtenstein,169260.0,193.79,,2.0,,0.935,,,,84.4,5.4,0.1,—,,14,,0.0,,,,1.53,,,37201.0,43.7,,,0.7,,,31,,31.2,2.1,0.0,,,3193.0,,,5.8
Luxembourg,133745.0,154.26,13.0,4.0,,0.93,8.68,50.0,39.0,72.4,2.3,0.1,0.0043,2.8,18,32103.0,22.1,34.2,6227.0,8.6,1.38,6330.9,22.6,570794.0,39.5,75.9,,1.58,82.4,80.08,106,,31.8,4.0,37.5,,255.3,3554.0,2000.0,3465.0,8.65
Bermuda,112653.0,,,7.0,,,,,,64.7,1,0.5,0.00062,,,,47.0,,,,1.3,,,60349.0,43.6,,,0.32,,,200,,,,,,95.56,1218.0,,,
Ireland,101109.0,112.81,13.0,22.0,,0.945,9.05,52.0,54.0,83.8,1.4,0.2,0.017,3.0,10,28302.0,548.53,26.9,5484.0,8.9,1.72,976.5,25.3,4024552.0,37.8,80.5,,0.91,81.8,76.85,91,,34.8,3.7,16.0,,291.86,3309.0,1773.0,3885.0,9.3
Switzerland,93525.0,188.69,11.5,42.0,0.8,0.962,8.83,49.0,41.0,66.9,5.2,0.4,0.11,4.0,15,,284.57,33.1,9871.0,9.8,1.52,1489.8,19.5,7942864.0,42.7,81.9,,0.64,83.4,67.54,73,,30.1,5.1,2.55,,318.69,5461.0,12156.0,3354.0,5.1
Norway,89242.0,159.99,7.5,29.0,1.6,0.961,9.81,48.0,,76.7,3.2,0.6,0.0080,2.2,15,,133.14,25.3,8272.0,11.8,1.55,552.8,23.1,5120225.0,39.5,73.0,1704297.0,0.79,82.6,67.47,55,,34.1,8.0,7.0,,261.34,4654.0,14114.0,3371.0,1.5
Cayman Islands,85250.0,,,3.0,,,,,,66.9,0.2,,,,,,7.0,,,,,,,49906.0,40.5,,,1.79,,,266,94.7,,,,,,410.0,,,
Singapore,66822.0,259.11,2.5,6.0,2.8,0.939,6.03,,70.0,18.9,15.6,33.9,0.0056,2.2,10,,158.13,45.9,2642.0,9.7,1.12,851.2,6.1,4821119.0,35.6,89.4,,0.9,83.2,,156,84,27.9,2.9,,,,4232.0,12000.0,,26.45
Qatar,66799.0,105.2,2.0,9.0,7.0,0.855,3.24,,95.0,13.8,77.5,3.1,,5.8,7,,106.09,41.1,2156.0,4.7,1.8,1020.3,35.1,2532059.0,33.7,72.6,1321192.0,0.86,77.2,,58,41,25.4,2.9,,,,1815.0,209.0,,27.15
