,Country,UN,Ookla,2016,Victims-per-100000-habitants,percentage-GDP,HDI,2020,percentage-of-population-with-education-of-2-year-tertiary-degree-or-equivalent,Yes/Important(%),Christian(%),Buddhist (%),"2020 mortality rate, under-5 (per 1000 live births)",Annual minimum wage (US$),External debt (% of GDP),Gini Ratio,Health spending per capita (International dollars),Suicide Rate,Total Fertility rate in 2021 (births/woman),Cigarettes,Obesity rate (%),Internet users,Median ages in years.1,Score,Oil production April 2022 (bbl/day)[1],CIA[2][3],Life expectancy at birth,kg/person (2020)[12],Age at first marriage (Women),Expenditure on education (% of GDP),Homeless per 10k,Calculated,Milk consumption 2013 (kg/capita/yr),Scientific publications per capita (per million),Titles,Average daily food energy intake per capita (kilocalories)
0,Afghanistan,373.0,,0.2,1613.0,,0.478,2.85,,97.0,0.02,0.1,58.0,858.0,7.0,,71.0,,4.64,311.6,5.5,4068194.0,19.5,51.5,,2.26,63.2,,15.5,4.1,1180.0,,62.23,9.0,2795.0,2040.0
1,Albania,6396.0,45.25,7.5,66.0,,0.796,6.08,,39.0,17.0,0.1,9.8,4637.0,66.0,30.8,,,1.39,2491.6,21.7,2105339.0,34.3,66.5,15003.0,0.19,78.0,47.51,27.8,4.0,121.8,1.0,303.72,216.0,390.0,3360.0
2,Algeria,3700.0,,0.9,695.0,4.8,0.745,3.77,,95.0,0.01,0.1,23.7,1777.0,2.0,27.6,258.0,2.2,2.89,1046.7,27.4,26350000.0,28.9,46.2,1211863.0,1.27,77.1,18.06,28.2,4.3,,,141.53,176.0,3955.0,3322.0
3,Andorra,42066.0,191.23,11.3,2.0,,0.858,,,,89.5,0.1,2.5,18253.0,41.0,,3188.0,,,6398.3,25.6,76095.0,46.2,,,-0.11,,,,3.2,,,,453.0,57.0,
4,Angola,2258.0,,6.4,1196.0,,0.586,3.66,,,75.0,0.1,71.5,663.0,41.0,51.3,84.0,,5.3,340.2,8.2,4271053.0,15.9,50.6,1165993.0,3.34,63.1,23.49,21.4,3.5,,,12.3,5.0,22.0,2385.0
5,Antigua and Barbuda,15246.0,,7.0,16.0,,0.788,,,,74.0,,6.4,6317.0,34.0,,850.0,,1.58,89.2,18.9,77529.0,32.7,,,1.13,76.5,72.05,25.0,2.5,,,123.74,232.0,,2445.0
6,Argentina,10761.0,51.51,9.8,2093.0,,0.842,6.95,,66.0,77.0,0.1,8.6,19981.0,42.91,42.3,1122.0,8.1,1.89,1176.1,28.3,40024673.0,32.4,52.2,582289.0,0.8,76.6,109.39,33.2,5.5,,,195.08,341.0,11514.0,3307.0
7,Armenia,4967.0,,5.5,61.0,,0.759,5.35,,73.0,97.9,0.1,10.9,1787.0,102.0,25.2,439.0,2.7,1.57,1985.7,20.2,2043110.0,36.6,67.7,,-0.4,76.0,45.64,27.1,2.3,,,209.03,396.0,396.0,2997.0
8,Australia,66916.0,77.88,10.6,193.0,1.9,0.951,8.96,48.0,,43.9,2.7,3.7,34515.0,111.17,34.3,5864.0,11.3,1.7,917.0,29.0,21159515.0,37.5,80.9,310919.0,1.19,83.0,121.61,30.5,5.3,48.0,,234.49,4109.0,19241.0,3391.0
9,Austria,53840.0,117.31,11.6,65.0,,0.916,8.16,39.0,,60.0,0.2,3.6,,77.76,26.7,5337.0,10.4,1.48,1927.0,20.1,7681957.0,44.5,72.0,9953.0,0.31,81.6,87.23,30.8,5.5,25.4,,258.09,3044.0,8711.0,3695.0
10,Azerbaijan,5296.0,,0.8,197.0,,0.745,2.68,,50.0,3.1,0.1,19.4,2435.0,22.0,33.7,165.0,4.0,1.52,1525.6,19.9,7763795.0,32.6,65.4,666869.0,0.63,71.4,34.08,24.0,2.5,725.0,,152.07,174.0,542.0,3149.0
11,Bahamas,27478.0,55.99,4.4,119.0,,0.812,,,,95.0,0.1,12.3,10920.0,194.0,,1920.0,3.4,1.39,438.6,31.6,336057.0,32.8,62.9,,0.8,73.2,67.05,27.0,2.8,,,104.76,219.0,,2655.0
